sex,age,L,M,S
F,170,2.0284 ,158.5614 ,0.0337 
F,171,2.0150 ,158.6842 ,0.0336 
F,172,2.0014 ,158.8069 ,0.0335 
F,173,1.9877 ,158.9297 ,0.0335 
F,174,1.9670 ,159.0139 ,0.0334 
F,175,1.9462 ,159.0981 ,0.0333 
F,176,1.9254 ,159.1823 ,0.0332 
F,177,1.9045 ,159.2666 ,0.0332 
F,178,1.8835 ,159.3508 ,0.0331 
F,179,1.8625 ,159.4351 ,0.0330 
F,180,1.7900 ,159.4917 ,0.0330 
F,181,1.7178 ,159.5483 ,0.0330 
F,182,1.6457 ,159.6051 ,0.0329 
F,183,1.5739 ,159.6619 ,0.0329 
F,184,1.5022 ,159.7189 ,0.0328 
F,185,1.4308 ,159.7760 ,0.0328 
F,186,1.3515 ,159.8149 ,0.0328 
F,187,1.2721 ,159.8539 ,0.0327 
F,188,1.1928 ,159.8930 ,0.0327 
F,189,1.1134 ,159.9321 ,0.0326 
F,190,1.0340 ,159.9714 ,0.0326 
F,191,0.9547 ,160.0107 ,0.0325 
F,192,0.8678 ,160.0286 ,0.0325 
F,193,0.7803 ,160.0465 ,0.0324 
F,194,0.6921 ,160.0644 ,0.0323 
F,195,0.6032 ,160.0823 ,0.0322 
F,196,0.5137 ,160.1002 ,0.0322 
F,197,0.4236 ,160.1182 ,0.0321 
F,198,0.3320 ,160.1342 ,0.0320 
F,199,0.2396 ,160.1502 ,0.0320 
F,200,0.1464 ,160.1661 ,0.0319 
F,201,0.0522 ,160.1821 ,0.0318 
F,202,-0.0428 ,160.1980 ,0.0317 
F,203,-0.1387 ,160.2140 ,0.0317 
F,204,-0.1640 ,160.2483 ,0.0316 
F,205,-0.1896 ,160.2827 ,0.0316 
F,206,-0.2154 ,160.3170 ,0.0315 
F,207,-0.2414 ,160.3514 ,0.0315 
F,208,-0.2675 ,160.3857 ,0.0314 
F,209,-0.2940 ,160.4200 ,0.0314 
F,210,-0.3110 ,160.4524 ,0.0313 
F,211,-0.3282 ,160.4847 ,0.0313 
F,212,-0.3456 ,160.5171 ,0.0313 
F,213,-0.3631 ,160.5494 ,0.0312 
F,214,-0.3808 ,160.5817 ,0.0312 
F,215,-0.3985 ,160.6140 ,0.0311 
F,216,-0.4107 ,160.6484 ,0.0311 
F,217,-0.4229 ,160.6827 ,0.0310 
F,218,-0.4352 ,160.7171 ,0.0310 
F,219,-0.4476 ,160.7514 ,0.0310 
F,220,-0.4601 ,160.7857 ,0.0309 
F,221,-0.4727 ,160.8200 ,0.0309 
F,222,-0.4804 ,160.8591 ,0.0309 
F,223,-0.4881 ,160.8981 ,0.0308 
F,224,-0.4959 ,160.9372 ,0.0308 
F,225,-0.5037 ,160.9762 ,0.0307 
F,226,-0.5116 ,161.0153 ,0.0307 
F,227,-0.5195 ,161.0543 ,0.0307 
